Price,Close,High,Low,Open,Volume
Ticker,6758.T,6758.T,6758.T,6758.T,6758.T
Date,,,,,
2020-01-06,1433.9248046875,1435.6641137604765,1415.5659291557868,1416.725389903607,25770500
2020-01-07,1479.339111328125,1488.615152707663,1455.5692184332888,1457.501731968662,58600000
2020-01-08,1480.305419921875,1488.42200064486,1452.0907684981278,1466.9710288804522,57025500
2020-01-09,1508.133544921875,1514.8973420029806,1491.3206543014462,1502.5292087313119,45977000
2020-01-10,1515.6700439453125,1529.777366387207,1513.1578004339465,1519.7283923417428,39806500
2020-01-14,1552.9676513671875,1567.8480274696544,1534.9953011439816,1536.3480840535244,66518000
2020-01-15,1522.8204345703125,1549.102567478844,1519.535138468934,1533.4492574004353,56432000
2020-01-16,1533.642578125,1544.6579280310798,1518.3757931246937,1522.6273461701771,33478500
2020-01-17,1531.32373046875,1553.1611092272574,1531.32373046875,1549.8758127172798,33957500
2020-01-20,1544.2713623046875,1548.5229152415375,1539.4400789562794,1544.464684409376,21431000
2020-01-21,1535.188720703125,1547.3635317593894,1529.9709108357947,1546.0107487639689,21110500
2020-01-22,1538.087646484375,1542.3390821126384,1526.106038378875,1528.6182825095593,25464500
2020-01-23,1536.34814453125,1543.498467662087,1529.004617241981,1534.4156311419024,22733500
2020-01-24,1534.2225341796875,1540.406483096667,1523.4003876724435,1540.406483096667,19851000
2020-01-27,1519.9215087890625,1533.0625738952751,1493.2528523776705,1506.9736478067152,31778500
2020-01-28,1502.1424560546875,1513.1578046597,1495.7651862153357,1499.823416671857,29356000
2020-01-29,1514.1240234375,1518.5687800053965,1501.9492144206563,1512.9645627506538,23305000
2020-01-30,1481.658203125,1503.1090569394519,1468.9035425734512,1502.9158527596448,36312500
2020-01-31,1491.513671875,1510.8388039748347,1489.5811586650163,1508.7130866243513,28302500
2020-02-03,1488.614990234375,1494.0260039525872,1458.2745074502434,1459.4340862156655,26232000
2020-02-04,1488.03515625,1493.0596433633334,1458.0812018060064,1478.3725903003246,41821500
2020-02-05,1480.112060546875,1528.8113038759495,1467.937131763349,1519.3420589847437,71858000
2020-02-06,1516.0567626953125,1518.569006525716,1485.9096008279546,1502.9156951621374,48926000
2020-02-07,1512.3848876953125,1526.6855335444582,1506.394143541652,1524.7530202108576,28780000
2020-02-10,1486.2960205078125,1497.5046926774164,1481.6580590819065,1490.3543694506457,30090000
2020-02-12,1491.320556640625,1494.4125307804306,1475.0873975285144,1478.7592200268796,27019000
2020-02-13,1482.237548828125,1500.0166929519044,1479.7253053864608,1495.5719364087693,21256000
2020-02-14,1472.9619140625,1479.1459812758337,1465.81159003306,1472.5753877458033,25964000
2020-02-17,1440.1087646484375,1460.4001519016729,1437.789725372106,1452.47677753681,27992500
2020-02-18,1403.970947265625,1425.2285940927713,1398.9464597415283,1411.1212702431887,37931000
2020-02-19,1424.2623291015625,1434.3114220423263,1411.5077882602588,1421.7500853541849,24551500
2020-02-20,1453.6365966796875,1469.2899079703684,1441.6549900621103,1449.3850436281268,32822000
2020-02-21,1445.3267822265625,1458.6610535761706,1439.9156504833836,1440.881907158772,20986000
2020-02-25,1404.7440185546875,1413.6335328934056,1370.3451861410479,1373.0507520447911,42542500
2020-02-26,1382.71337890625,1388.5109192790226,1357.7839081228237,1388.5109192790226,39676000
2020-02-27,1328.9893798828125,1363.9678223764379,1319.9065440567406,1362.6150395170234,54200500
2020-02-28,1277.58447265625,1308.1182766125007,1270.0477416914628,1294.7838878998975,58184000
2020-03-02,1328.2164306640625,1344.6427944952302,1273.719529422172,1275.265634496699,56228000
2020-03-03,1315.0753173828125,1363.0016242423692,1315.0753173828125,1360.6825846626118,52273500
2020-03-04,1316.2347412109375,1329.5691299564069,1298.0691872410036,1301.1611612929605,28470000
2020-03-05,1339.0386962890625,1344.8362369837164,1324.1583182491975,1335.5600775112564,34335500
2020-03-06,1295.556884765625,1322.6120693214004,1287.0537795818836,1313.3359116841393,38039000
2020-03-09,1200.8636474609375,1245.8911775986182,1185.5967472997297,1241.4464212071384,64547000
2020-03-10,1240.48046875,1254.0080633145528,1149.8455379869904,1181.5388067187341,78880000
2020-03-11,1187.529296875,1242.026189744133,1183.0845403467572,1217.09672363819,61044500
2020-03-12,1136.704345703125,1181.3453557154287,1124.5295355135195,1159.5079790338743,73079000
2020-03-13,1122.983642578125,1155.6431706688406,1023.6525110539419,1058.24443485671,134116000
2020-03-16,1088.5845947265625,1155.4496180869762,1082.2073251507431,1120.8575867632696,86523000
2020-03-17,1127.2349853515625,1155.0632240780292,1062.689111842086,1076.7964353549992,104031000
2020-03-18,1157.9620361328125,1212.652140972058,1150.0386605365843,1155.642996496081,77039000
2020-03-19,1145.7872314453125,1198.15829692053,1101.5326278140355,1185.2104336700083,90387500
2020-03-23,1133.612060546875,1145.9801907301892,1105.3974183771807,1119.6980615296857,67218000
2020-03-24,1197.771728515625,1197.771728515625,1142.501894911634,1152.9373960372554,63936000
2020-03-25,1256.1337890625,1260.5785465720066,1222.8945329001317,1223.2810591947116,56172500
